0.000049		0.000282
0.000047		0.000246
0.000047		0.000269
0.000044		0.000230
0.000044		0.000230
0.000045		0.000230
0.000044		0.000264
0.000044		0.000231
0.000043		0.000228
0.000041		0.000218
0.000042		0.000218
0.000041		0.000217
0.000042		0.000219
0.000041		0.000217
0.000041		0.000218
0.000045		0.000254
0.000043		0.000219
0.000050		0.000218
0.000043		0.000217
0.000042		0.000218
0.000043		0.000218
0.000043		0.000249
0.000042		0.000217
0.000029		0.000173
0.000041		0.000146
0.000028		0.000145
0.000028		0.000145
0.000028		0.000145
0.000028		0.000145
0.000028		0.000145
0.000027		0.000145
